NSESymbol,Name,ISIN,ListingDate,ICICISymbol,Active,Series,LotSize,IsFuture,X
ANDHRAPAP,ANDHRA PAPER LIMITED,INE435A01028,20040513,INTPAP,TRUE,EQ,,,
ANDHRAPET,ANDHRA PETROCHEMICALS LTD,INE714B01016,,ANDPET,,,,,
ANDHRSUGAR,THE ANDHRA SUGARS LIMITED,INE715B01013,19951101,ANDSUG,TRUE,EQ,,,
ANDPAPER,,,,,,,,,
ANDRAVALLY,ANDHRA VALLEY POWER SUPPLY COMPANY LIMITED,,,,,,,,TRUE
ANDREWYU,ANDREW YULE & COMPANY LTD,INE449C01025,20210805,ANDYUL,TRUE,EQ,,,
ANDREWYULE,ANDREW YULE & CO. LTD,,,,,,,,
ANGAUTO,ANG AUTO LIMITED,,,,,,,,TRUE
ANGELBRKG,ANGEL BROKING LIMITED,INE732I01013,20201005,,,EQ,,,TRUE
ANGELONE,Angel One Limited,INE732I01013,20201005,ANGBRO,TRUE,EQ,,,
ANGIND,ANG INDUSTRIES LIMITED,,,,,,,,
ANIKINDS,ANIK INDUSTRIES LIMITED,INE087B01017,20080521,ANIIND,TRUE,EQ,,,
ANIKSHIP,ANIK SHIP BREAKING INDUSTRIES LIMITED,,,,,,,,
ANKITMETAL,ANKIT METAL & POWER LIMITED,INE106I01010,20130314,ANKMET,TRUE,EQ,,,
ANKURDRUGS,ANKUR DRUGS & PHARMA LTD,INE238D01012,,MRIPHA,,,,,
ANMOL,ANMOL INDIA LIMITED,INE02AR01019,20210604,ANMIND,TRUE,EQ,,,
ANSALAPI,ANSAL PROPERTIES & INFRASTRUCT,INE436A01026,20060127,ANSPRO,TRUE,EQ,,,
ANSALHOUS,ANSAL HOUSING AND CONSTRUCTION LTD,,,,,,,,
ANSALHSG,ANSAL HOUSING LIMITED,INE880B01015,20061006,ANSHOU,TRUE,EQ,,,
ANSALINFRA,ANSAL PROPERTIES & INFRASTRUCTURE LIMITED,,,,,,,,
ANSALPROP,,,,,,,,,TRUE
ANTFRIBEAR,ABC BEARINGS LTD,INE779A01011,,ABCBEA,,,,,
ANTGRAPHIC,ANTARCTICA LTD,INE414B01021,19971231,ANTART,TRUE,EQ,,,
ANUP,THE ANUP ENGINEERING LIMITED,INE294Z01018,20190301,THEANU,TRUE,EQ,,,
ANURAS,ANUPAM RASAYAN INDIA LIMITED,INE930P01018,20210324,ANURAS,TRUE,EQ,,,
APARINDS,APAR INDUSTRIES LIMITED,INE372A01015,20040712,APAIND,TRUE,EQ,,,
APCL,ANJANI PORTLAND CEMENT LTD,INE071F01012,20170410,ANJPO,TRUE,EQ,,,
APCOTEXIND,APCOTEX INDUSTRIES LIMITED,INE116A01032,19950906,APCLAT,TRUE,EQ,,,
APCOTEXLAT,,,,,,,,,
APEX,APEX FROZEN FOODS LTD,INE346W01013,20170904,APEFRO,TRUE,EQ,,,
APIL,ALSTOM PROJECTS INDIA LIMITED,,,,,,,,
APLAB,APLAB LTD,INE273A01015,,APLAB,,,,,
APLAPOLLO,APL APOLLO TUBES LIMITED,INE702C01027,20111214,APLAPO,TRUE,EQ,,,
APLLTD,ALEMBIC PHARMACEUTICALS LIMITE,INE901L01018,20110920,ALEPHA,TRUE,EQ,700,TRUE,
APOLLO,APOLLO MICRO SYSTEMS LIMITED,INE713T01010,20180122,APOMIC,TRUE,EQ,,,
APOLLOHOSP,APOLLO HOSPITALS ENTERPRISES L,INE437A01024,19960110,APOHOS,TRUE,EQ,125,TRUE,
APOLLOPIPE,APOLLO PIPES LIMITED,INE126J01016,20191111,AMULEA,TRUE,EQ,,,
APOLLOSIND,APOLLO SINDHOORI CAPITAL INVESTMENTS LIMITED,,,,,,,,
APOLLOTUBE,APOLLO TUBES LTD,,,,,,,,TRUE
APOLLOTYRE,APOLLO TYRES LTD,INE438A01022,19950531,APOTYR,TRUE,EQ,2500,TRUE,
APOLSINHOT,APOLLO SINDOORI HOTELS LIMITED,INE451F01024,20150128,APOSI,TRUE,EQ,,,
APOWERTOOL,CONSORTEX KARL DOELITZSCH (INDIA) LIMITED,,,,,,,,
APPAPER,THE ANDHRA PRADESH PAPER MILLS LIMITED,,,,,,,,TRUE
APPLECREDT,APPLE CREDIT CORPORATION,INE212A01013,,APPCRE,,,,,
APPLEIND,UTIQUE ENTERPRISES LTD,INE096A01010,,APPFIN,,,,,
APRAYON,APR LTD.,,,,,,,,
APTECH,APTECH LIMITED,,,,,,,,TRUE
APTECHT,APTECH LIMITED,INE266F01018,20020927,APTLIM,TRUE,EQ,,,
APTUS,APTUS VALUE HOUSING FIN IND,INE852O01025,20210824,APTVAL,TRUE,EQ,,,
AQUA,AQUA LOGISTICS LIMITED,INE544K01026,,AQULOG,,,,,
ARAVALIIND,ARAVALI INDUSTRIES LIMITED,,,,,,,,
ARAVALISEC,ARAVALI SECURITIES AND FINANCE LTD,,,,,,,,TRUE
ARCHIDPLY,ARCHIDPLY INDUSTRIES LIMITED,INE877I01016,20080704,ARCIN,TRUE,BE,,,
ARCHIES,ARCHIES LIMITED,INE731A01020,19980902,ARCLIM,TRUE,EQ,,,
ARCOTECH,Arcotech Limited,INE574I01035,,ARCLTD,,EQ,,,
ARENTERP,RAJDARSHAN INDUSTRIES LTD,INE610C01014,19951018,RAJIN,TRUE,EQ,,,
AREVA,,,,,,,,,
AREVAT&D,AREVA T&D INDIA LIMITED,,,,,,,,TRUE
ARHAMFISCL,,,,,,,,,TRUE
ARIES,ARIES AGRO LIMITED,INE298I01015,20080111,ARIAGR,TRUE,EQ,,,
ARIHANT,ARIHANT FOUNDATIONS & HOUSING,INE413D01011,20061226,ARIFOU,,EQ,,,
ARIHANTCAP,ARIHANT CAPITAL MARKETS LTD,INE420B01028,20210615,ARICAP,TRUE,EQ,,,
ARIHANTCOT,ARIHANT COTSYN LIMITED,,,,,,,,
ARIHANTCRE,ATN INTERNATIONAL LTD,,,,,,,,TRUE
ARIHANTIND,ARIHANT INDUSTRIES LIMITED,,,,,,,,TRUE
ARIHANTRED,ARIHANT THREADS LTD,INE747A01018,,ARITHR,,,,,
ARIHANTSUP,ARIHANT SUPERSTRUCTURES LIMITE,INE643K01018,20170328,ARISUP,TRUE,EQ,,,
ARL,ARVIND REMEDIES LIMITED,,,,,,,,
ARMANFIN,ARMAN FINANCIAL SERVICES LIMIT,INE109C01017,20160614,ARMFIN,TRUE,EQ,,,
AROGRANITE,ARO GRANITE INDUSTRIES LIMITED,INE210C01013,20070424,AROGRA,TRUE,EQ,,,
ARROWCOAT,,,,,,,,,
ARROWGREEN,ARROW GREENTECH LIMITED,INE570D01018,20150521,ARRGRE,TRUE,BE,,,
ARROWGROUP,,,,,,,,,
ARROWTEX,ARROW TEXTILES LIMITED,INE933J01015,,ARRTEX,,,,,
ARSHIYA,ARSHIYA LIMITED,INE968D01022,20091214,ARSLIM,TRUE,BE,,,
ARSSINFRA,ARSS INFRASTRUCTURE PROJECTS L,INE267I01010,20100303,ARSINF,TRUE,EQ,,,
ARTEMISMED,ARTEMIS MEDICARE SERVICES LTD,INE025R01021,20200123,ARTMED,TRUE,EQ,,,
